Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
CORT,Corcept Therapeutics Incorporated,Health Care,Pharmaceuticals,"Menlo Park, California",1088856
CPF,Central Pacific Financial Corp.,Financials,Regional Banks,"Honolulu, Hawaii",701347
CPK,Chesapeake Utilities Corp.,Utilities,Gas Utilities,"Dover, Delaware",19745
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care,Biotechnology,"Coral Gables, Florida",1369568
CRC,California Resources Corporation,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",1609253
CRGY,Crescent Energy Company,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1866175
CRI,"Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",1060822
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Exploration & Production,"Frisco, Texas",23194
CRSR,Corsair Gaming,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",1743759
CRVL,CorVel Corporation,Health Care,Health Care Services,"Irvine, California",874866
CSGS,"CSG Systems International, Inc.",Industrials,Data Processing & Outsourced Services,"Greenwood Village, Colorado",1005757
CSR,Centerspace Trust,Real Estate,Multi-Family Residential REITs,"Minot, North Dakota",798359
CSWI,"CSW Industrials, Inc.",Industrials,Industrial Conglomerates,"Dallas, Texas",1624794
CTKB,"Cytek Biosciences, Inc.",Health Care,Health Care Equipment,"Fremont, California",1831915
CTRE,"CareTrust REIT, Inc.",Real Estate,Health Care REITs,"San Clemente, California",1590717
CTS,CTS Corporation,Information Technology,Electronic Manufacturing Services,"Lisle, Illinois",26058
CUBI,"Customers Bancorp, Inc.",Financials,Regional Banks,"Reading, Pennsylvania",1488813
CURB,Curbline Properties Corp.,Real Estate,Retail REITs,"New York City, New York",2027317
CVBF,CVB Financial Corp.,Financials,Regional Banks,"Ontario, California",354647
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,Homebuilding,"Phoenix, Arizona",278166
CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,"Sugar Land, Texas",1376139
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,Renewable Electricity,"Princeton, New Jersey",1567683
CWEN.A,"Clearway Energy, Inc. (Class A)",Utilities,Renewable Electricity,"Princeton, New Jersey",1567683
CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,"Chicago, Illinois",1628369
CWT,California Water Service Group,Utilities,Water Utilities,"San Jose, California",1035201
CXM,"Sprinklr, Inc.",Information Technology,Application Software,"New York City, New York",1569345
CXW,CoreCivic,Industrials,Diversified Support Services,"Brentwood, Tennessee",1070985
DAN,Dana Incorporated,Consumer Discretionary,Auto Parts & Equipment,"Maumee, Ohio",26780
DCOM,"Dime Community Bancshares, Inc.",Financials,Regional Banks,"Hauppauge, New York",846617
DEA,"Easterly Government Properties, Inc.",Real Estate,Office REITs,"Washington, D.C.",1622194
DEI,Douglas Emmett,Real Estate,Office REITs,"Santa Monica, California",1364250
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,Homebuilding,"Jacksonville, Florida",1825088
DFIN,"Donnelley Financial Solutions, Inc.",Financials,Financial Exchanges & Data,"Chicago, Illinois",1669811
DGII,Digi International Inc.,Information Technology,Communications Equipment,"Hopkins, Minnesota",854775
DIOD,Diodes Incorporated,Information Technology,Semiconductors,"Plano, Texas",29002
DLX,Deluxe Corporation,Industrials,Commercial Printing,"Minneapolis, Minnesota",27996
DNOW,NOW Inc,Industrials,Trading Companies & Distributors,"Houston, Texas",1599617
DOCN,"DigitalOcean Holdings, Inc.",Information Technology,Internet Services & Infrastructure,"New York City, New York",1582961
DORM,"Dorman Products, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Colmar, Pennsylvania",868780
DRH,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1298946
DRQ,Dril-Quip Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1042893
DV,"DoubleVerify Holdings, Inc.",Information Technology,Application Software,"New York City, New York",1819928
DVAX,Dynavax Technologies Corp.,Health Care,Biotechnology,"Emeryville, California",1029142
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Ashburn, Virginia",1688568
DXPE,"DXP Enterprises, Inc.",Industrials,Trading Companies & Distributors,"Houston, Texas",1020710
DY,"Dycom Industries, Inc.",Industrials,Construction & Engineering,"Palm Beach Gardens, Florida",67215
EAT,"Brinker International, Inc.",Consumer Discretionary,Restaurants,"Dallas, Texas",703351
ECG,"Everus Construction Group, Inc.",Industrials,Construction & Engineering,"Bismarck, North Dakota",2015845
ECPG,"Encore Capital Group, Inc.",Financials,Consumer Finance,"San Diego, California",1084961
EFC,"Ellington Financial, Inc.",Financials,Specialized Finance,"Greenwich, Connecticut",1411342
EGBN,Eagle Bancorp Inc,Financials,Regional Banks,"Bethesda, Maryland",1050441
EIG,"Employers Holdings, Inc.",Financials,Property & Casualty Insurance,"Henderson, Nevada",1379041
ELME,Elme Communities,Real Estate,Diversified REITs,"Bethesda, Maryland",104894
EMBC,Embecta Corp.,Health Care,Health Care Equipment,"Wilmington, Delaware",1872789
ENOV,Enovis,Health Care,Health Care Equipment,"Wilmington, Delaware",1420800
ENR,Energizer,Consumer Staples,Household Products,"St. Louis, Missouri",1632790
ENVA,"Enova International, Inc.",Financials,Consumer Finance,"Chicago, Illinois",1529864
EPAC,Enerpac Tool Group,Industrials,Industrial Machinery,"Menomonee Falls, Wisconsin",6955
EPC,Edgewell Personal Care,Consumer Staples,Household Products,"Shelton, Connecticut",1096752
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs,"Princeton, New Jersey",1728951
ESE,ESCO Technologies Inc.,Industrials,Industrial Machinery,"St. Louis, Missouri",866706
ESI,Element Solutions,Materials,Specialty Chemicals,"Fort Lauderdale, Florida",1590714
ETD,"Ethan Allen Interiors, Inc.",Consumer Discretionary,Home Furnishings,"Danbury, Connecticut",896156
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",1370637
EVTC,"EVERTEC, Inc.",Financials,Transaction & Payment Processing Services,"San Juan, Puerto Rico",1559865
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,"Bellingham, Washington",1495932
